ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.357,0.3463,0.3456,0.4678,0.5903,0.4953,0.4484,0.3807,0.5385,0.5345
TXN,0.4066,0.2085,0.4124,0.2705,0.2962,0.3024,0.3528,0.2954,0.3024,0.2576
SYK,0.3037,0.3443,0.4505,0.4015,0.2898,0.2652,0.4015,0.3811,0.4184,0.3693
DHR,0.2968,0.3372,0.4444,0.4889,0.3922,0.4101,0.4432,0.4502,0.3267,0.5413
LLY,0.3178,0.1746,0.5422,0.5285,0.5152,0.2185,0.2588,0.2602,0.3967,0.4491
TSLA,0.1903,0.2213,0.1669,0.1689,0.1661,0.1725,0.3513,0.1592,0.2855,0.2458
INTU,0.3587,0.3217,0.3971,0.4349,0.495,0.4824,0.4481,0.5463,0.6437,0.392
NKE,0.6082,0.5888,0.3625,0.4931,0.5144,0.5993,0.5724,0.4617,0.5803,0.4102
LRCX,0.2779,0.3871,0.3766,0.3341,0.4374,0.5771,0.6815,0.5589,0.5998,0.6703
COST,0.3098,0.3156,0.3161,0.3075,0.3209,0.3634,0.4357,0.3832,0.3779,0.487
NVDA,0.5242,0.2835,0.2876,0.4367,0.4249,0.3163,0.3355,0.317,0.2967,0.315
UPS,0.4544,0.3114,0.6525,0.5972,0.314,0.72,0.5082,0.4307,0.3828,0.3507
MRK,0.5228,0.4936,0.4525,0.5036,0.6867,0.3021,0.3612,0.5017,0.2597,0.3533
QCOM,0.2799,0.2702,0.239,0.1909,0.2041,0.2013,0.2181,0.3315,0.309,0.2402
ADBE,0.6841,0.4371,0.2459,0.2525,0.3942,0.2678,0.383,0.4065,0.5526,0.5626
ORCL,0.2859,0.3348,0.6278,0.3118,0.3046,0.3536,0.5843,0.3552,0.3132,0.3142
KO,0.416,0.3377,0.391,0.3732,0.501,0.3989,0.4055,0.411,0.3711,0.5248
PG,0.333,0.5778,0.5325,0.518,0.5685,0.5518,0.7549,0.7104,0.6836,0.5021
ADP,0.4821,0.3457,0.5134,0.4318,0.4239,0.6189,0.4038,0.4432,0.3991,0.604
ACN,0.444,0.4473,0.4726,0.4677,0.6846,0.7426,0.6004,0.7098,0.6849,0.7229
BKNG,0.3307,0.3604,0.3409,0.3692,0.3323,0.3682,0.4137,0.3088,0.3282,0.363
MMC,0.7128,0.7067,0.6806,0.6294,0.5464,0.699,0.6477,0.6199,0.4385,0.4529
CSCO,0.4402,0.3338,0.3579,0.5013,0.3604,0.3529,0.5279,0.5773,0.4069,0.4971
BA,0.3767,0.5396,0.3806,0.3448,0.3407,0.293,0.41,0.4421,0.4048,0.3535
MU,0.7295,0.7065,0.6248,0.6789,0.1845,0.5441,0.4157,0.2753,0.1165,0.3034
TMO,0.5227,0.4002,0.4181,0.3076,0.585,0.468,0.3557,0.2721,0.2494,0.3157
BSX,0.3613,0.2909,0.494,0.3407,0.4502,0.4473,0.3552,0.4814,0.3609,0.4668
PEP,0.7299,0.6735,0.5902,0.4383,0.4408,0.6188,0.6469,0.5659,0.4773,0.5501
META,0.2396,0.2392,0.4448,0.5365,0.3673,0.3988,0.3461,0.3112,0.5665,0.2489
MA,0.3801,0.3827,0.4598,0.5173,0.472,0.4286,0.3687,0.4936,0.4494,0.5347
AMGN,0.4339,0.1953,0.1764,0.3397,0.4099,0.2526,0.2076,0.2939,0.4601,0.3266
CRM,0.2941,0.3737,0.3487,0.3517,0.3173,0.363,0.4033,0.4546,0.511,0.3474
TMUS,0.3063,0.3973,0.3221,0.4807,0.3352,0.373,0.266,0.2405,0.2787,0.6597
ABBV,0.4748,0.4669,0.2846,0.4467,0.4334,0.2671,0.3056,0.3301,0.2312,0.3518
PLD,0.3434,0.3161,0.3325,0.2849,0.4701,0.3081,0.4053,0.482,0.5331,0.5496
ADI,0.6092,0.4892,0.2695,0.6718,0.3722,0.6825,0.4067,0.3684,0.3149,0.5007
