ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMD,0.3504,0.3486,0.4576,0.3418,0.4263,0.6542,0.3636,0.3402,0.2122,0.2764
ISRG,0.1921,0.567,0.3478,0.5813,0.3886,0.3976,0.3636,0.5458,0.2204,0.3549
GOOGL,0.4053,0.3802,0.3119,0.405,0.3845,0.2547,0.3438,0.2996,0.3741,0.4667
HD,0.3943,0.335,0.3709,0.3168,0.358,0.3012,0.4469,0.3406,0.3562,0.6207
VRTX,0.2,0.2018,0.4942,0.3281,0.4296,0.2275,0.2643,0.1835,0.1836,0.2441
SCHW,0.6508,0.6124,0.4555,0.5275,0.6152,0.537,0.4703,0.6064,0.7023,0.4495
BX,0.6545,0.5287,0.656,0.5069,0.666,0.654,0.3709,0.4437,0.594,0.6983
UNP,0.5745,0.5011,0.219,0.5163,0.2155,0.2375,0.262,0.262,0.2469,0.2326
NEE,0.1638,0.5035,0.7469,0.6398,0.7976,0.6745,0.4536,0.608,0.7784,0.6089
GILD,0.585,0.6958,0.5376,0.4938,0.5335,0.2824,0.5364,0.578,0.422,0.375
ANET,0.3693,0.4181,0.3653,0.4247,0.3627,0.3703,0.3624,0.3111,0.5479,0.3726
