ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SYK,0.3837,0.3601,0.3865,0.4037,0.3523,0.3369,0.3178,0.2415,0.3492,0.3224
TJX,0.3111,0.3124,0.312,0.3077,0.3014,0.2918,0.2252,0.347,0.3483,0.3484
TMO,0.3703,0.3889,0.4611,0.5004,0.4221,0.3906,0.3851,0.274,0.3959,0.3113
TMUS,0.4194,0.4238,0.2956,0.3272,0.399,0.3473,0.3305,0.3723,0.3431,0.2918
TSLA,0.3099,0.2826,0.1753,0.2916,0.2589,0.2583,0.3095,0.3701,0.1735,0.2135
TXN,0.3106,0.3257,0.3976,0.3408,0.342,0.4317,0.3507,0.4125,0.4191,0.3432
UNH,0.233,0.338,0.3665,0.3734,0.3507,0.336,0.3513,0.3096,0.3193,0.3863
UNP,0.3164,0.2901,0.246,0.2383,0.2542,0.223,0.2498,0.2817,0.2592,0.2913
UPS,0.3552,0.3285,0.3737,0.338,0.3788,0.3664,0.3235,0.4062,0.3736,0.3599
V,0.4223,0.3932,0.3864,0.4341,0.401,0.3613,0.4336,0.4186,0.3969,0.3593
VRTX,0.3314,0.212,0.2559,0.3047,0.3314,0.3344,0.3778,0.3769,0.3516,0.2679
