,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
142,AXP,2016,0.4111,0.537,0.3422,,,,
143,AXP,2017,0.5165,0.7301,0.4111,0.3422,,,
144,AXP,2018,0.2651,0.445,0.5165,0.4111,0.3422,,
145,AXP,2019,0.5825,0.5057,0.2651,0.5165,0.4111,0.3422,
146,AXP,2020,0.5733,0.453,0.5825,0.2651,0.5165,0.4111,0.3422
147,AXP,2021,0.6238,0.4391,0.5733,0.5825,0.2651,0.5165,0.4111
148,AXP,2022,0.6607,0.5089,0.6238,0.5733,0.5825,0.2651,0.5165
149,AXP,2023,0.6604,0.6172,0.6607,0.6238,0.5733,0.5825,0.2651
150,BA,2014,0.3479,0.3732,,,,,
151,BA,2015,0.3584,0.3798,0.3479,,,,
152,BA,2016,0.3192,0.3775,0.3584,0.3479,,,
153,BA,2017,0.3645,0.4689,0.3192,0.3584,0.3479,,
154,BA,2018,0.3678,0.323,0.3645,0.3192,0.3584,0.3479,
155,BA,2019,0.3434,0.322,0.3678,0.3645,0.3192,0.3584,0.3479
156,BA,2020,0.3802,0.3982,0.3434,0.3678,0.3645,0.3192,0.3584
157,BA,2021,0.3619,0.3991,0.3802,0.3434,0.3678,0.3645,0.3192
158,BA,2022,0.3571,0.4064,0.3619,0.3802,0.3434,0.3678,0.3645
159,BA,2023,0.3636,0.4245,0.3571,0.3619,0.3802,0.3434,0.3678
160,BAC,2014,0.7756,0.5737,,,,,
161,BAC,2015,0.8101,0.721,0.7756,,,,
162,BAC,2016,0.8109,0.6007,0.8101,0.7756,,,
163,BAC,2017,0.7032,0.6338,0.8109,0.8101,0.7756,,
164,BAC,2018,0.8461,0.5295,0.7032,0.8109,0.8101,0.7756,
165,BAC,2019,0.8268,0.6205,0.8461,0.7032,0.8109,0.8101,0.7756
166,BAC,2020,0.7838,0.5137,0.8268,0.8461,0.7032,0.8109,0.8101
167,BAC,2021,0.7923,0.5587,0.7838,0.8268,0.8461,0.7032,0.8109
168,BAC,2022,0.8067,0.6774,0.7923,0.7838,0.8268,0.8461,0.7032
169,BAC,2023,0.7085,0.4722,0.8067,0.7923,0.7838,0.8268,0.8461
170,BKNG,2014,0.3438,0.3536,,,,,
171,BKNG,2015,0.4283,0.3645,0.3438,,,,
172,BKNG,2016,0.4268,0.3447,0.4283,0.3438,,,
173,BKNG,2017,0.4069,0.3361,0.4268,0.4283,0.3438,,
174,BKNG,2018,0.3654,0.3478,0.4069,0.4268,0.4283,0.3438,
175,BKNG,2019,0.294,0.3873,0.3654,0.4069,0.4268,0.4283,0.3438
176,BKNG,2020,0.2792,0.3605,0.294,0.3654,0.4069,0.4268,0.4283
177,BKNG,2021,0.3233,0.3441,0.2792,0.294,0.3654,0.4069,0.4268
178,BKNG,2022,0.3882,0.2834,0.3233,0.2792,0.294,0.3654,0.4069
179,BKNG,2023,0.4494,0.2961,0.3882,0.3233,0.2792,0.294,0.3654
180,BLK,2014,0.528,0.4632,,,,,
181,BLK,2015,0.3401,0.5006,0.528,,,,
182,BLK,2016,0.4771,0.3914,0.3401,0.528,,,
183,BLK,2017,0.4286,0.4791,0.4771,0.3401,0.528,,
184,BLK,2018,0.3899,0.3362,0.4286,0.4771,0.3401,0.528,
185,BLK,2019,0.424,0.3578,0.3899,0.4286,0.4771,0.3401,0.528
186,BLK,2020,0.3681,0.3538,0.424,0.3899,0.4286,0.4771,0.3401
187,BLK,2021,0.3775,0.3329,0.3681,0.424,0.3899,0.4286,0.4771
188,BLK,2022,0.3673,0.3142,0.3775,0.3681,0.424,0.3899,0.4286
189,BLK,2023,0.3703,0.2939,0.3673,0.3775,0.3681,0.424,0.3899
190,BMY,2014,0.1917,0.3227,,,,,
191,BMY,2015,0.2187,0.3159,0.1917,,,,
192,BMY,2016,0.1991,0.4904,0.2187,0.1917,,,
193,BMY,2017,0.388,0.4167,0.1991,0.2187,0.1917,,
194,BMY,2018,0.6147,0.3748,0.388,0.1991,0.2187,0.1917,
195,BMY,2019,0.4929,0.4161,0.6147,0.388,0.1991,0.2187,0.1917
196,BMY,2020,0.5963,0.2747,0.4929,0.6147,0.388,0.1991,0.2187
197,BMY,2021,0.61,0.3194,0.5963,0.4929,0.6147,0.388,0.1991
198,BMY,2022,0.6071,0.5008,0.61,0.5963,0.4929,0.6147,0.388
199,BMY,2023,0.6957,0.4861,0.6071,0.61,0.5963,0.4929,0.6147
200,BRK-B,2014,0.2604,0.4011,,,,,
201,BRK-B,2015,0.2401,0.5692,0.2604,,,,
202,BRK-B,2016,0.2333,0.3818,0.2401,0.2604,,,
203,BRK-B,2017,0.2282,0.3313,0.2333,0.2401,0.2604,,
204,BRK-B,2018,0.2672,0.4167,0.2282,0.2333,0.2401,0.2604,
205,BRK-B,2019,0.2607,0.4428,0.2672,0.2282,0.2333,0.2401,0.2604
206,BRK-B,2020,0.3225,0.5348,0.2607,0.2672,0.2282,0.2333,0.2401
207,BRK-B,2021,0.4921,0.4403,0.3225,0.2607,0.2672,0.2282,0.2333
208,BRK-B,2022,0.2495,0.4534,0.4921,0.3225,0.2607,0.2672,0.2282
209,BRK-B,2023,0.268,0.399,0.2495,0.4921,0.3225,0.2607,0.2672
210,BSX,2014,0.4612,0.1158,,,,,
211,BSX,2015,0.3825,0.2336,0.4612,,,,
212,BSX,2016,0.6343,0.4033,0.3825,0.4612,,,
213,BSX,2017,0.5882,0.4927,0.6343,0.3825,0.4612,,
214,BSX,2018,0.2323,0.5744,0.5882,0.6343,0.3825,0.4612,
215,BSX,2019,0.4082,0.4718,0.2323,0.5882,0.6343,0.3825,0.4612
216,BSX,2020,0.4664,0.3963,0.4082,0.2323,0.5882,0.6343,0.3825
217,BSX,2021,0.4674,0.5468,0.4664,0.4082,0.2323,0.5882,0.6343
218,BSX,2022,0.6029,0.3947,0.4674,0.4664,0.4082,0.2323,0.5882
219,BSX,2023,0.2621,0.3221,0.6029,0.4674,0.4664,0.4082,0.2323
220,BX,2014,0.3264,0.6965,,,,,
221,BX,2015,0.6132,0.5999,0.3264,,,,
222,BX,2016,0.6351,0.6504,0.6132,0.3264,,,
223,BX,2017,0.6777,0.6143,0.6351,0.6132,0.3264,,
224,BX,2018,0.5998,0.5955,0.6777,0.6351,0.6132,0.3264,
225,BX,2019,0.5104,0.7803,0.5998,0.6777,0.6351,0.6132,0.3264
226,BX,2020,0.3564,0.4471,0.5104,0.5998,0.6777,0.6351,0.6132
227,BX,2021,0.6086,0.479,0.3564,0.5104,0.5998,0.6777,0.6351
228,BX,2022,0.569,0.6313,0.6086,0.3564,0.5104,0.5998,0.6777
229,BX,2023,0.6551,0.6467,0.569,0.6086,0.3564,0.5104,0.5998
230,C,2014,0.3879,0.6001,,,,,
231,C,2015,0.6489,0.3397,0.3879,,,,
232,C,2016,0.5128,0.3985,0.6489,0.3879,,,
233,C,2017,0.552,0.5616,0.5128,0.6489,0.3879,,
234,C,2018,0.6543,0.4961,0.552,0.5128,0.6489,0.3879,
235,C,2019,0.6554,0.5106,0.6543,0.552,0.5128,0.6489,0.3879
236,C,2020,0.4204,0.5354,0.6554,0.6543,0.552,0.5128,0.6489
237,C,2021,0.3112,0.5046,0.4204,0.6554,0.6543,0.552,0.5128
238,C,2022,0.5146,0.2861,0.3112,0.4204,0.6554,0.6543,0.552
239,C,2023,0.6469,0.3441,0.5146,0.3112,0.4204,0.6554,0.6543
240,CAT,2014,,,,,,,
241,CAT,2015,0.8661,0.3675,,,,,
242,CAT,2016,0.7917,0.5445,0.8661,,,,
243,CAT,2017,0.8241,0.6107,0.7917,0.8661,,,
244,CAT,2018,0.6678,0.5222,0.8241,0.7917,0.8661,,
245,CAT,2019,0.8602,0.3927,0.6678,0.8241,0.7917,0.8661,
246,CAT,2020,0.3703,0.3657,0.8602,0.6678,0.8241,0.7917,0.8661
247,CAT,2021,0.6729,0.3482,0.3703,0.8602,0.6678,0.8241,0.7917
248,CAT,2022,0.4738,0.602,0.6729,0.3703,0.8602,0.6678,0.8241
249,CAT,2023,0.4547,0.6882,0.4738,0.6729,0.3703,0.8602,0.6678
250,CMCSA,2014,0.4026,0.3013,,,,,
251,CMCSA,2015,0.324,0.4919,0.4026,,,,
252,CMCSA,2016,0.4027,0.5143,0.324,0.4026,,,
253,CMCSA,2017,0.413,0.5588,0.4027,0.324,0.4026,,
254,CMCSA,2018,0.3895,0.7603,0.413,0.4027,0.324,0.4026,
255,CMCSA,2019,0.355,0.7121,0.3895,0.413,0.4027,0.324,0.4026
256,CMCSA,2020,0.5181,0.446,0.355,0.3895,0.413,0.4027,0.324
257,CMCSA,2021,0.8382,0.6191,0.5181,0.355,0.3895,0.413,0.4027
258,CMCSA,2022,0.8048,0.5229,0.8382,0.5181,0.355,0.3895,0.413
259,CMCSA,2023,0.7121,0.7291,0.8048,0.8382,0.5181,0.355,0.3895
260,CME,2014,0.7519,0.4734,,,,,
261,CME,2015,0.7038,0.5388,0.7519,,,,
262,CME,2016,0.6246,0.5351,0.7038,0.7519,,,
263,CME,2017,0.6387,0.4953,0.6246,0.7038,0.7519,,
264,CME,2018,0.4517,0.5313,0.6387,0.6246,0.7038,0.7519,
265,CME,2019,0.6186,0.2581,0.4517,0.6387,0.6246,0.7038,0.7519
266,CME,2020,0.6191,0.4946,0.6186,0.4517,0.6387,0.6246,0.7038
267,CME,2021,0.5864,0.4442,0.6191,0.6186,0.4517,0.6387,0.6246
268,CME,2022,0.4939,0.5142,0.5864,0.6191,0.6186,0.4517,0.6387
269,CME,2023,0.5847,0.5119,0.4939,0.5864,0.6191,0.6186,0.4517
270,COP,2014,0.5004,0.5347,,,,,
271,COP,2015,0.4717,0.506,0.5004,,,,
272,COP,2016,0.2268,0.5143,0.4717,0.5004,,,
273,COP,2017,0.3946,0.4519,0.2268,0.4717,0.5004,,
274,COP,2018,0.5184,0.4679,0.3946,0.2268,0.4717,0.5004,
275,COP,2019,0.5503,0.5503,0.5184,0.3946,0.2268,0.4717,0.5004
276,COP,2020,0.4208,0.4208,0.5503,0.5184,0.3946,0.2268,0.4717
277,COP,2021,0.2523,0.2523,0.4208,0.5503,0.5184,0.3946,0.2268
278,COP,2022,0.2826,0.6014,0.2523,0.4208,0.5503,0.5184,0.3946
279,COP,2023,0.5019,0.3996,0.2826,0.2523,0.4208,0.5503,0.5184
280,COST,2014,0.3428,0.2895,,,,,
281,COST,2015,0.3124,0.3323,0.3428,,,,
282,COST,2016,0.3153,0.2745,0.3124,0.3428,,,
283,COST,2017,0.3819,0.3037,0.3153,0.3124,0.3428,,
284,COST,2018,0.3436,0.3186,0.3819,0.3153,0.3124,0.3428,
285,COST,2019,0.2745,0.366,0.3436,0.3819,0.3153,0.3124,0.3428
286,COST,2020,0.2575,0.3838,0.2745,0.3436,0.3819,0.3153,0.3124
287,COST,2021,0.3608,0.3546,0.2575,0.2745,0.3436,0.3819,0.3153
288,COST,2022,0.3032,0.3572,0.3608,0.2575,0.2745,0.3436,0.3819
289,COST,2023,0.317,0.5754,0.3032,0.3608,0.2575,0.2745,0.3436
290,CRM,2014,0.4963,0.3093,,,,,
291,CRM,2015,0.5113,0.3181,0.4963,,,,
292,CRM,2016,0.5084,0.3523,0.5113,0.4963,,,
293,CRM,2017,0.5295,0.3051,0.5084,0.5113,0.4963,,
294,CRM,2018,0.5651,0.396,0.5295,0.5084,0.5113,0.4963,
295,CRM,2019,0.4734,0.4079,0.5651,0.5295,0.5084,0.5113,0.4963
296,CRM,2020,0.4759,0.4349,0.4734,0.5651,0.5295,0.5084,0.5113
297,CRM,2021,0.4819,0.3482,0.4759,0.4734,0.5651,0.5295,0.5084
298,CRM,2022,0.5416,0.572,0.4819,0.4759,0.4734,0.5651,0.5295
299,CRM,2023,0.4939,0.572,0.5416,0.4819,0.4759,0.4734,0.5651
300,CSCO,2014,0.5703,0.3059,,,,,
301,CSCO,2015,0.517,0.3875,0.5703,,,,
302,CSCO,2016,0.6136,0.3213,0.517,0.5703,,,
303,CSCO,2017,0.4574,0.294,0.6136,0.517,0.5703,,
304,CSCO,2018,0.4902,0.7425,0.4574,0.6136,0.517,0.5703,
305,CSCO,2019,0.5378,0.3317,0.4902,0.4574,0.6136,0.517,0.5703
306,CSCO,2020,0.4796,0.5491,0.5378,0.4902,0.4574,0.6136,0.517
307,CSCO,2021,0.6162,0.5527,0.4796,0.5378,0.4902,0.4574,0.6136
308,CSCO,2022,0.5255,0.4278,0.6162,0.4796,0.5378,0.4902,0.4574
309,CSCO,2023,0.492,0.3889,0.5255,0.6162,0.4796,0.5378,0.4902
310,DHR,2014,0.4798,0.4253,,,,,
311,DHR,2015,0.3925,0.4983,0.4798,,,,
312,DHR,2016,0.4524,0.5039,0.3925,0.4798,,,
313,DHR,2017,0.3802,0.2908,0.4524,0.3925,0.4798,,
314,DHR,2018,0.3561,0.5839,0.3802,0.4524,0.3925,0.4798,
315,DHR,2019,0.4311,0.3703,0.3561,0.3802,0.4524,0.3925,0.4798
316,DHR,2020,0.3808,0.4527,0.4311,0.3561,0.3802,0.4524,0.3925
317,DHR,2021,0.3572,0.4442,0.3808,0.4311,0.3561,0.3802,0.4524
318,DHR,2022,0.3175,0.6841,0.3572,0.3808,0.4311,0.3561,0.3802
319,DHR,2023,0.3409,0.5524,0.3175,0.3572,0.3808,0.4311,0.3561
320,DIS,2014,0.2281,0.6624,,,,,
321,DIS,2015,0.2569,0.4956,0.2281,,,,
322,DIS,2016,0.889,0.6597,0.2569,0.2281,,,
323,DIS,2017,0.2931,0.402,0.889,0.2569,0.2281,,
324,DIS,2018,0.6382,0.2888,0.2931,0.889,0.2569,0.2281,
325,DIS,2019,0.5142,0.2554,0.6382,0.2931,0.889,0.2569,0.2281
326,DIS,2020,0.5686,0.4349,0.5142,0.6382,0.2931,0.889,0.2569
327,DIS,2021,0.706,0.406,0.5686,0.5142,0.6382,0.2931,0.889
328,DIS,2022,0.3162,0.3885,0.706,0.5686,0.5142,0.6382,0.2931
329,DIS,2023,0.576,0.5622,0.3162,0.706,0.5686,0.5142,0.6382
330,ELV,2014,0.2225,0.2949,,,,,
331,ELV,2015,0.2914,0.2744,0.2225,,,,
332,ELV,2016,0.2423,0.2748,0.2914,0.2225,,,
333,ELV,2017,0.3534,0.3359,0.2423,0.2914,0.2225,,
334,ELV,2018,0.3053,0.3267,0.3534,0.2423,0.2914,0.2225,
335,ELV,2019,0.2875,0.309,0.3053,0.3534,0.2423,0.2914,0.2225
336,ELV,2020,0.3761,0.3514,0.2875,0.3053,0.3534,0.2423,0.2914
337,ELV,2021,0.4975,0.3299,0.3761,0.2875,0.3053,0.3534,0.2423
338,ELV,2022,0.3357,0.3609,0.4975,0.3761,0.2875,0.3053,0.3534
339,ELV,2023,0.3667,0.4777,0.3357,0.4975,0.3761,0.2875,0.3053
340,EQIX,2014,0.4618,0.7506,,,,,
341,EQIX,2015,0.3665,0.3155,0.4618,,,,
342,EQIX,2016,0.4431,0.6698,0.3665,0.4618,,,
343,EQIX,2017,0.4177,0.328,0.4431,0.3665,0.4618,,
344,EQIX,2018,0.4249,0.2827,0.4177,0.4431,0.3665,0.4618,
345,EQIX,2019,0.5416,0.3968,0.4249,0.4177,0.4431,0.3665,0.4618
346,EQIX,2020,0.5204,0.3873,0.5416,0.4249,0.4177,0.4431,0.3665
347,EQIX,2021,0.4859,0.3324,0.5204,0.5416,0.4249,0.4177,0.4431
348,EQIX,2022,0.4118,0.4276,0.4859,0.5204,0.5416,0.4249,0.4177
349,EQIX,2023,0.4092,0.5726,0.4118,0.4859,0.5204,0.5416,0.4249
350,FI,2014,0.5404,0.3336,,,,,
351,FI,2015,0.5502,0.4179,0.5404,,,,
352,FI,2016,0.5257,0.4666,0.5502,0.5404,,,
353,FI,2017,0.4922,0.602,0.5257,0.5502,0.5404,,
354,FI,2018,0.5489,0.4047,0.4922,0.5257,0.5502,0.5404,
355,FI,2019,0.6198,0.396,0.5489,0.4922,0.5257,0.5502,0.5404
356,FI,2020,0.5142,0.3635,0.6198,0.5489,0.4922,0.5257,0.5502
357,FI,2021,0.5108,0.6237,0.5142,0.6198,0.5489,0.4922,0.5257
358,FI,2022,0.4631,0.5622,0.5108,0.5142,0.6198,0.5489,0.4922
359,FI,2023,0.556,0.3709,0.4631,0.5108,0.5142,0.6198,0.5489
360,GE,2014,0.6434,0.7413,,,,,
361,GE,2015,0.7281,0.7129,0.6434,,,,
362,GE,2016,0.7032,0.3023,0.7281,0.6434,,,
363,GE,2017,0.4818,0.5837,0.7032,0.7281,0.6434,,
364,GE,2018,0.7288,0.6588,0.4818,0.7032,0.7281,0.6434,
365,GE,2019,0.7941,0.7485,0.7288,0.4818,0.7032,0.7281,0.6434
366,GE,2020,0.6767,0.3895,0.7941,0.7288,0.4818,0.7032,0.7281
367,GE,2021,0.504,0.4037,0.6767,0.7941,0.7288,0.4818,0.7032
368,GE,2022,0.6432,0.3437,0.504,0.6767,0.7941,0.7288,0.4818
369,GE,2023,0.5677,0.6071,0.6432,0.504,0.6767,0.7941,0.7288
370,GILD,2014,0.6069,0.507,,,,,
371,GILD,2015,0.5929,0.353,0.6069,,,,
