model,avg,min,25%,mid,75%,max
4o_report_7,0.4183914285714286,0.1106,0.31767500000000004,0.3972,0.5014,0.8407
4o_report_17,0.44661471428571425,0.1119,0.380175,0.45015,0.517775,0.8041
4o_filter_7,0.40391714285714286,0.0896,0.315175,0.3899,0.489275,0.8046
4o_filter_17,0.4430757142857143,0.1466,0.386125,0.44955,0.5055,0.8029
o4_report_7,0.4183914285714286,0.1106,0.31767500000000004,0.3972,0.5014,0.8407
o4_report_17,0.48453928571428573,0.1876,0.409625,0.48255,0.55865,0.7644
o4_filter_7,0.40391714285714286,0.0896,0.315175,0.3899,0.489275,0.8046
o4_filter_17,0.5178601428571429,0.2222,0.455625,0.5254,0.583975,0.8772
