Model,const,IT_lag,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
report_7,15.176115371078886,1.7634985717109661,1.9180521073464185,1.9748345684415272,1.9781064241848016,1.9169815308297204,1.6124521381977734
filter_7,13.645670798611729,2.2569085124462664,2.4563883910577533,2.4154672108723676,2.3884296417163613,2.48457904596534,2.0271117418351245
report_17,69.31915160392558,1.465264287470133,1.3230829776272095,1.332915900362376,1.3731858083376922,1.516989702489645,1.4827872043570958
filter_17,50.033110564664156,1.8592183918584033,1.8513414155228738,1.9931449404728505,2.1614134086679324,2.2381016150676714,2.0998300505197096
