Model,const,IT_growth,IT_growth_lag1,IT_growth_lag2,IT_growth_lag3,IT_growth_lag4,IT_growth_lag5
report_7,1.328807934377852,1.2495063404751263,1.445665944947896,1.505243495010912,1.5107959806749416,1.4569056780426133,1.2293546713168924
filter_7,1.3430012622775547,1.3292378134193281,1.700768182921025,1.7117539870991116,1.472474242437992,1.3642291334657528,1.196387032752141
report_17,1.1941802537739301,2.034094713616916,2.1785707398150542,3.1480777447659363,2.4793752222481267,2.6326281095316917,1.6415039294494727
filter_17,1.1324416778403676,1.5344977851212531,2.3819145428337167,2.502555004393874,2.2766894170443845,1.9688312902308955,1.4647616041371616
