Model,const,IT_similarity,OR_similarity,IT_growth,OR_growth,Marketcap
report_7,15.372187520042415,1.6034101920350434,1.668153524831986,1.2513115365320364,1.2941161797147414,1.0176913719046417
filter_7,15.521576632437265,1.4613959098146196,1.5427888603099211,1.1991125931159157,1.2801063756188829,1.009112461020841
report_17,0.0,1.4305520488837602,1.9077013194259318,1.355075747635494,1.8559864876062668,1.0014445558542702
filter_17,0.0,1.4181636743464314,1.6778335848649482,1.2063969626888502,1.5379375796373946,1.0094810108041867
