ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.6422,0.5825,0.6496,0.6413,0.5376,0.6331,0.5627,0.4203,0.5546,0.5491
TXN,0.4877,0.6282,0.6079,0.5942,0.3078,0.4736,0.6119,0.407,0.3901,0.5575
SYK,0.5436,0.6376,0.5643,0.6467,0.4433,0.525,0.5764,0.2742,0.4299,0.5515
DHR,0.6162,0.6688,0.6201,0.6137,0.5631,0.4384,0.5776,0.3122,0.4096,0.6148
LLY,0.6214,0.5576,0.6442,0.6224,0.3633,0.4961,0.5659,0.3701,0.3746,0.5417
TSLA,0.449,0.4573,0.3712,0.2986,0.359,0.6397,0.7286,0.2583,0.2749,0.4622
INTU,0.6347,0.6253,0.5941,0.7126,0.498,0.5929,0.699,0.4973,0.533,0.6148
NKE,0.4744,0.4439,0.4575,0.4109,0.4285,0.4896,0.4976,0.3854,0.5264,0.4993
LRCX,0.58,0.5721,0.568,0.5344,0.391,0.5112,0.5758,0.5073,0.4173,0.5133
COST,0.7068,0.6128,0.4582,0.5012,0.48,0.6728,0.6251,0.5638,0.4265,0.6086
NVDA,0.4878,0.3193,0.4587,0.4718,0.4616,0.3248,0.3581,0.3757,0.4971,0.528
UPS,0.4949,0.5078,0.6028,0.4692,0.3438,0.5699,0.5271,0.4182,0.421,0.6301
MRK,0.542,0.5206,0.621,0.5803,0.3976,0.4728,0.4262,0.2963,0.2112,0.4031
QCOM,0.4743,0.4344,0.3862,0.4038,0.2978,0.534,0.433,0.4334,0.4538,0.6702
ADBE,0.6644,0.5827,0.563,0.635,0.4612,0.6403,0.5964,0.3804,0.4624,0.4774
ORCL,0.487,0.5702,0.5469,0.5831,0.435,0.6146,0.5717,0.4654,0.4355,0.5452
KO,0.615,0.5865,0.5719,0.4393,0.293,0.5415,0.5222,0.3571,0.3698,0.5639
PG,0.5684,0.5291,0.6807,0.6735,0.5515,0.5943,0.6346,0.4627,0.4574,0.5125
ADP,0.6162,0.5425,0.5894,0.5683,0.5119,0.6327,0.6229,0.5257,0.4919,0.6286
ACN,0.5723,0.6748,0.5708,0.6054,0.584,0.7506,0.5745,0.5025,0.5464,0.5824
BKNG,0.5043,0.4799,0.5181,0.6476,0.502,0.6324,0.6482,0.4669,0.4102,0.5591
MMC,0.6875,0.4775,0.6577,0.6087,0.5957,0.7005,0.6488,0.5451,0.5286,0.6516
CSCO,0.616,0.4444,0.5118,0.4549,0.4742,0.5922,0.5164,0.4628,0.3333,0.6037
BA,0.553,0.5415,0.5433,0.477,0.3211,0.3813,0.52,0.3608,0.3801,0.4551
MU,0.4106,0.5059,0.5327,0.5086,0.3517,0.563,0.5214,0.4346,0.3803,0.5884
TMO,0.5059,0.7287,0.6708,0.6782,0.5531,0.6912,0.6862,0.3655,0.4633,0.4862
BSX,0.6808,0.5935,0.4979,0.4868,0.3876,0.669,0.5564,0.3487,0.2788,0.609
PEP,0.6583,0.7133,0.5541,0.5871,0.3876,0.5664,0.6237,0.3644,0.3028,0.5362
META,0.4683,0.4008,0.5365,0.4338,0.446,0.3293,0.5727,0.4802,0.4534,0.42
MA,0.6432,0.4571,0.497,0.4317,0.455,0.4538,0.4918,0.4513,0.4981,0.449
AMGN,0.4334,0.4243,0.3986,0.3786,0.2644,0.4133,0.5094,0.3246,0.3821,0.5397
CRM,0.7053,0.6561,0.5949,0.6184,0.5389,0.6636,0.5369,0.4479,0.5817,0.4131
TMUS,0.4563,0.5725,0.5005,0.5351,0.5291,0.6034,0.634,0.4276,0.4745,0.5576
ABBV,0.5448,0.5014,0.4795,0.4666,0.3639,0.4943,0.3555,0.2904,0.1929,0.4613
PLD,0.4843,0.5165,0.5899,0.4856,0.3915,0.4809,0.5766,0.3942,0.2893,0.4391
ADI,0.5434,0.5942,0.5888,0.5831,0.3615,0.626,0.6111,0.4231,0.3107,0.5453
AAPL,0.5545,0.5569,0.4188,0.5643,0.5187,0.5826,0.5525,0.4314,0.4493,0.5414
PANW,0.6778,0.5793,0.6842,0.6395,0.6235,0.4183,0.6464,0.4728,0.4469,0.598
LOW,0.6078,0.5027,0.5703,0.6645,0.4455,0.5155,0.5268,0.4655,0.3786,0.5567
CB,0.4971,0.6593,0.6351,0.4712,0.4217,0.4154,0.622,0.4058,0.4528,0.5643
LMT,0.5354,0.542,0.5848,0.5071,0.43,0.5767,0.5346,0.378,0.5,0.542
ABT,0.5802,0.4673,0.5045,0.4262,0.4014,0.4845,0.5849,0.339,0.3556,0.5239
BAC,0.4379,0.6174,0.6122,0.5559,0.4034,0.5428,0.592,0.4312,0.4635,0.6373
BRK-B,0.5457,0.5671,0.496,0.5408,0.3775,0.5647,0.6213,0.4214,0.4494,0.5303
NFLX,0.6331,0.4603,0.3508,0.397,0.3526,0.4274,0.4357,0.37,0.5113,0.3946
PM,0.5631,0.5865,0.6152,0.5596,0.3694,0.5727,0.5938,0.3191,0.4055,0.6008
MSFT,0.5829,0.5556,0.6497,0.6595,0.5059,0.5015,0.6058,0.5668,0.5124,0.5325
CMCSA,0.6041,0.4913,0.4514,0.5451,0.5184,0.5548,0.5116,0.4914,0.5283,0.4614
GS,0.5169,0.5588,0.565,0.4536,0.3675,0.5001,0.5101,0.4523,0.3302,0.5214
AMZN,0.5094,0.577,0.5817,0.5105,0.4132,0.5274,0.4604,0.4881,0.4278,0.5377
AMAT,0.6127,0.5582,0.614,0.5883,0.4616,0.6486,0.6306,0.3871,0.4592,0.6618
BMY,0.5224,0.4377,0.4098,0.5827,0.3307,0.473,0.4583,0.3819,0.4039,0.5286
