ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMD,0.494,0.392,0.3507,0.4315,0.3224,0.3878,0.4218,0.3969,0.3987,0.6236
ISRG,0.5874,0.3746,0.6006,0.4453,0.4005,0.3846,0.5018,0.4317,0.6279,0.6031
GOOGL,0.6675,0.3723,0.5398,0.7375,0.486,0.4099,0.5664,0.3627,0.5751,0.4412
HD,0.7244,0.3872,0.4531,0.4766,0.5917,0.3941,0.5355,0.4062,0.557,0.6874
VRTX,0.3126,0.4807,0.3259,0.4182,0.435,0.2317,0.4747,0.3772,0.4912,0.4941
SCHW,0.4842,0.5107,0.4788,0.485,0.4691,0.3689,0.4999,0.4911,0.5177,0.5028
BX,0.5649,0.4165,0.5551,0.5102,0.618,0.4815,0.5295,0.4477,0.5194,0.4862
UNP,0.4162,0.3496,0.495,0.558,0.4861,0.3584,0.6199,0.3899,0.3915,0.4919
NEE,0.5578,0.4142,0.4186,0.5849,0.3645,0.4023,0.3575,0.4122,0.4705,0.465
GILD,0.4928,0.379,0.3919,0.474,0.3229,0.3815,0.3925,0.3547,0.4671,0.5961
ANET,0.5885,0.3599,0.5215,0.5307,0.5087,0.4368,0.3514,0.2948,0.4174,0.6029
