ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMD,0.4096,0.4157,0.3061,0.3159,0.3855,0.2801,0.455,0.5002,0.4624,0.5625
ISRG,0.4616,0.6816,0.6096,0.4917,0.4687,0.3952,0.5389,0.599,0.5105,0.6928
GOOGL,0.6909,0.8772,0.4929,0.589,0.5236,0.5654,0.5263,0.4761,0.4255,0.5359
HD,0.5676,0.5019,0.4824,0.4357,0.4808,0.4641,0.6517,0.5578,0.4914,0.5857
VRTX,0.6284,0.3395,0.5515,0.3825,0.5181,0.448,0.3886,0.4589,0.5827,0.3642
SCHW,0.5259,0.6014,0.5227,0.4913,0.4882,0.5602,0.4919,0.4631,0.4809,0.4548
BX,0.533,0.5591,0.6439,0.6721,0.6206,0.6708,0.6727,0.6531,0.6465,0.5853
UNP,0.4508,0.4497,0.4959,0.4702,0.3087,0.473,0.5823,0.5034,0.4485,0.4434
NEE,0.5302,0.5397,0.4323,0.3591,0.476,0.5069,0.5202,0.5803,0.4194,0.5276
GILD,0.5934,0.267,0.4404,0.3698,0.4463,0.2809,0.3743,0.4215,0.4177,0.3977
ANET,0.4466,0.6789,0.4785,0.4877,0.5557,0.3685,0.5802,0.4827,0.6285,0.5244
