ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.5825,0.5924,0.5407,0.5103,0.4747,0.5022,0.4574,0.5382,0.5497,0.5652
TXN,0.397,0.3543,0.3892,0.434,0.3354,0.4889,0.4035,0.3876,0.3612,0.4391
SYK,0.4074,0.473,0.4802,0.4273,0.5603,0.5266,0.4307,0.3722,0.4919,0.5409
DHR,0.4263,0.4427,0.4509,0.4527,0.4277,0.4288,0.4456,0.4894,0.3425,0.4626
LLY,0.3613,0.4974,0.5109,0.4807,0.2058,0.4007,0.3182,0.4332,0.344,0.4308
TSLA,0.3436,0.3449,0.3371,0.2835,0.3111,0.3658,0.2586,0.33,0.3017,0.2952
INTU,0.5935,0.5082,0.5889,0.6083,0.5864,0.6336,0.442,0.512,0.5199,0.6039
NKE,0.34,0.3075,0.4041,0.3922,0.3658,0.3951,0.3652,0.3486,0.3426,0.3884
LRCX,0.4357,0.4988,0.4217,0.4362,0.3772,0.446,0.4124,0.5134,0.4127,0.3726
COST,0.4349,0.5291,0.4118,0.4746,0.4349,0.494,0.526,0.5162,0.5158,0.4913
NVDA,0.3515,0.3419,0.3819,0.419,0.4785,0.3705,0.4821,0.2949,0.3569,0.3074
UPS,0.349,0.3661,0.4444,0.5201,0.3659,0.3662,0.4147,0.379,0.5071,0.5596
MRK,0.4357,0.2678,0.4601,0.3023,0.4505,0.4004,0.3836,0.416,0.3396,0.3946
QCOM,0.394,0.4059,0.4396,0.363,0.3443,0.4027,0.4332,0.355,0.4603,0.3753
ADBE,0.5285,0.5866,0.5423,0.4773,0.4834,0.557,0.4229,0.4905,0.5201,0.6212
ORCL,0.4679,0.4796,0.4294,0.538,0.4828,0.4784,0.5286,0.5108,0.4453,0.4898
KO,0.3593,0.294,0.3522,0.3453,0.354,0.4191,0.3515,0.3909,0.3745,0.3832
PG,0.4816,0.3935,0.4858,0.4616,0.5687,0.4973,0.4282,0.465,0.4279,0.4203
ADP,0.4901,0.5221,0.4833,0.5563,0.5687,0.5125,0.457,0.4953,0.5162,0.4959
ACN,0.5158,0.5523,0.5312,0.5708,0.5553,0.5476,0.4987,0.5602,0.518,0.5987
BKNG,0.3457,0.3905,0.4219,0.4908,0.4321,0.4783,0.3912,0.4911,0.421,0.4688
MMC,0.5694,0.5523,0.4589,0.5435,0.5879,0.6119,0.5403,0.5853,0.522,0.5545
CSCO,0.4823,0.4245,0.4648,0.4427,0.4512,0.4527,0.4369,0.4465,0.3939,0.4146
BA,0.409,0.3539,0.4118,0.3955,0.3708,0.4224,0.3195,0.3496,0.3746,0.3678
MU,0.4252,0.4291,0.4022,0.4376,0.3974,0.3368,0.3771,0.4303,0.3235,0.3865
TMO,0.3614,0.5539,0.5007,0.5558,0.5217,0.4404,0.3812,0.3016,0.4875,0.3477
BSX,0.5262,0.3091,0.3764,0.3409,0.3428,0.4323,0.3846,0.4076,0.297,0.3252
PEP,0.4049,0.3596,0.3666,0.3611,0.428,0.4234,0.3594,0.3934,0.4239,0.3981
META,0.5119,0.5071,0.5504,0.5667,0.4978,0.5385,0.4859,0.4504,0.5039,0.5697
MA,0.4144,0.4754,0.4905,0.4438,0.4536,0.4427,0.4781,0.4626,0.4619,0.4805
AMGN,0.2498,0.3717,0.3085,0.2558,0.342,0.2891,0.4104,0.3643,0.3898,0.3802
CRM,0.5484,0.5814,0.5243,0.4991,0.5018,0.4389,0.4506,0.4919,0.517,0.58
TMUS,0.512,0.4063,0.508,0.4395,0.4183,0.4482,0.3185,0.5066,0.4378,0.5295
ABBV,0.2461,0.262,0.3385,0.3918,0.252,0.3333,0.2733,0.2924,0.3216,0.2848
