ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
EQIX,0.5095,0.49,0.5677,0.5451,0.5457,0.526,0.6049,0.5811,0.4962,0.5308
LMT,0.6727,0.5034,0.3796,0.4147,0.3591,0.2915,0.3406,0.5831,0.5481,0.6885
ABT,0.4093,0.6583,0.429,0.4766,0.3416,0.4631,0.4184,0.3476,0.3925,0.3954
BAC,0.7878,0.4854,0.6776,0.56,0.5697,0.5941,0.6338,0.6215,0.6231,0.5446
DIS,0.3702,0.3724,0.4036,0.3715,0.4398,0.3188,0.4887,0.6394,0.6039,0.6144
BRK-B,0.5583,0.5677,0.6168,0.6724,0.5602,0.5181,0.5264,0.536,0.5189,0.566
NFLX,0.4184,0.3687,0.3406,0.3145,0.4936,0.3501,0.3898,0.4435,0.4448,0.4428
PM,0.4919,0.4501,0.4871,0.4763,0.5428,0.4761,0.5276,0.6172,0.5753,0.564
ICE,0.4219,0.3758,0.4703,0.4409,0.8551,0.416,0.6152,0.4403,0.5075,0.453
MSFT,0.6261,0.5447,0.4883,0.4939,0.476,0.4354,0.5075,0.5321,0.4745,0.4597
BLK,0.3954,0.4804,0.4444,0.59,0.5583,0.3662,0.3634,0.3736,0.3499,0.3894
CMCSA,0.5002,0.4036,0.5103,0.4323,0.3971,0.4139,0.4775,0.6693,0.5351,0.5448
GS,0.5396,0.4426,0.47,0.5231,0.4872,0.3845,0.5126,0.438,0.4783,0.5746
AMZN,0.5213,0.5517,0.5178,0.5219,0.5412,0.4795,0.4823,0.5254,0.5183,0.5186
AMAT,0.4228,0.3713,0.4928,0.4771,0.5702,0.4595,0.5095,0.516,0.5229,0.4214
COP,0.2604,0.2508,0.2697,0.4295,0.4636,0.7738,0.6157,0.4265,0.471,0.4016
RTX,0.5838,0.5181,0.5628,0.5471,0.5855,0.5614,0.4564,0.5277,0.5361,0.585
SHW,0.337,0.3093,0.2492,0.3033,0.5301,0.5987,0.5794,0.5948,0.6093,0.6347
